WKT,name,Desrciption,Weight,Neighborhood,X,Y,X Weight,Y Weight
POINT (34.9355918 29.5567271),Point 334,,2,10,34.9355918,29.5567271,69.8711836,59.1134542
POINT (34.9393057 29.5527043),Point 346,,1,11,34.9393057,29.5527043,34.9393057,29.5527043
POINT (34.9385488 29.551652),Point 347,,1,11,34.9385488,29.551652,34.9385488,29.551652
POINT (34.9389244 29.5510324),Point 348,,1,11,34.9389244,29.5510324,34.9389244,29.5510324
POINT (34.9394306 29.5508254),Point 349,,1,11,34.9394306,29.5508254,34.9394306,29.5508254
POINT (34.9399082 29.5505186),Point 350,,1,11,34.9399082,29.5505186,34.9399082,29.5505186
POINT (34.9404654 29.5502869),Point 351,,1,11,34.9404654,29.5502869,34.9404654,29.5502869
POINT (34.9409606 29.5500467),Point 352,,1,11,34.9409606,29.5500467,34.9409606,29.5500467
POINT (34.9414321 29.5498006),Point 353,,1,11,34.9414321,29.5498006,34.9414321,29.5498006
POINT (34.9419518 29.5495657),Point 354,,1,11,34.9419518,29.5495657,34.9419518,29.5495657
POINT (34.9424751 29.5493178),Point 355,,1,11,34.9424751,29.5493178,34.9424751,29.5493178
POINT (34.9429735 29.5490447),Point 356,,1,11,34.9429735,29.5490447,34.9429735,29.5490447
POINT (34.9419577 29.5503784),Point 357,,2,11,34.9419577,29.5503784,69.8839154,59.1007568
POINT (34.9423412 29.5507611),Point 358,,2,11,34.9423412,29.5507611,69.8846824,59.1015222
POINT (34.9422401 29.5515347),Point 359,,1,11,34.9422401,29.5515347,34.9422401,29.5515347
POINT (34.940747 29.5520477),Point 360,,1,11,34.940747,29.5520477,34.940747,29.5520477
POINT (34.9401583 29.5521643),Point 361,,1,11,34.9401583,29.5521643,34.9401583,29.5521643
POINT (34.9418989 29.5521859),Point 362,,1,11,34.9418989,29.5521859,34.9418989,29.5521859
POINT (34.945331 29.5522009),lot 129,,1,12,34.945331,29.5522009,34.945331,29.5522009
POINT (34.9450198 29.5533988),lot 130,,2,12,34.9450198,29.5533988,69.8900396,59.1067976
POINT (34.9450707 29.5537394),lot 131,,1,12,34.9450707,29.5537394,34.9450707,29.5537394
POINT (34.9455321 29.5546538),lot 132,,2,12,34.9455321,29.5546538,69.8910642,59.1093076
POINT (34.9449626 29.5549212),lot 133,,2,12,34.9449626,29.5549212,69.8899252,59.1098424
POINT (34.9463621 29.5535383),lot 134,,2,12,34.9463621,29.5535383,69.8927242,59.1070766
POINT (34.9464288 29.5541374),lot 135,,1,12,34.9464288,29.5541374,34.9464288,29.5541374
POINT (34.9471495 29.5536497),lot 136,,2,12,34.9471495,29.5536497,69.894299,59.1072994
POINT (34.9467497 29.5531889),lot 137,,1,12,34.9467497,29.5531889,34.9467497,29.5531889
POINT (34.9309146 29.5529144),Point 363,,2,13,34.9309146,29.5529144,69.8618292,59.1058288
POINT (34.9315208 29.5529097),Point 364,,2,13,34.9315208,29.5529097,69.8630416,59.1058194
POINT (34.9303504 29.5525831),Point 365,,1,13,34.9303504,29.5525831,34.9303504,29.5525831
POINT (34.9302378 29.5523544),Point 366,,1,13,34.9302378,29.5523544,34.9302378,29.5523544
POINT (34.930087 29.5521304),Point 367,,1,13,34.930087,29.5521304,34.930087,29.5521304
POINT (34.9297687 29.5517546),Point 368,,2,13,34.9297687,29.5517546,69.8595374,59.1035092
POINT (34.9297263 29.5507171),Point 369,,2,13,34.9297263,29.5507171,69.8594526,59.1014342
POINT (34.9299497 29.5500936),Point 370,,2,13,34.9299497,29.5500936,69.8598994,59.1001872
POINT (34.9303725 29.5499195),Point 371,,1,13,34.9303725,29.5499195,34.9303725,29.5499195
POINT (34.9307876 29.5497776),Point 372,,1,13,34.9307876,29.5497776,34.9307876,29.5497776
POINT (34.9314115 29.5495372),Point 373,,1,13,34.9314115,29.5495372,34.9314115,29.5495372
POINT (34.9319429 29.5493479),Point 374,,1,13,34.9319429,29.5493479,34.9319429,29.5493479
POINT (34.9352467 29.5497459),Point 375,,2,13,34.9352467,29.5497459,69.8704934,59.0994918
POINT (34.9347029 29.5500892),Point 376,,2,13,34.9347029,29.5500892,69.8694058,59.1001784
POINT (34.9340626 29.5504764),Point 377,,2,13,34.9340626,29.5504764,69.8681252,59.1009528
POINT (34.935893 29.5498233),Point 378,a33 a3ong the edge of thi1 road,2,13,34.935893,29.5498233,69.871786,59.0996466
POINT (34.9335708 29.5473547),Point 407,,2,14,34.9335708,29.5473547,69.8671416,59.0947094
POINT (34.934068 29.5472375),Point 408,,1,14,34.934068,29.5472375,34.934068,29.5472375
POINT (34.9338561 29.5468945),Point 409,,1,14,34.9338561,29.5468945,34.9338561,29.5468945
POINT (34.9335819 29.5477312),Point 410,,1,14,34.9335819,29.5477312,34.9335819,29.5477312
POINT (34.9329845 29.54807),Point 411,,1,14,34.9329845,29.54807,34.9329845,29.54807
POINT (34.9328048 29.547937),Point 412,,1,14,34.9328048,29.547937,34.9328048,29.547937
POINT (34.9325232 29.5482162),Point 413,,2,14,34.9325232,29.5482162,69.8650464,59.0964324
POINT (34.93215 29.5479386),Point 414,,2,14,34.93215,29.5479386,69.8643,59.0958772
POINT (34.9334455 29.5466949),Point 415,,1,14,34.9334455,29.5466949,34.9334455,29.5466949
POINT (34.9331218 29.5468591),Point 416,,2,14,34.9331218,29.5468591,69.8662436,59.0937182
POINT (34.9331524 29.5462471),Point 417,,1,14,34.9331524,29.5462471,34.9331524,29.5462471
POINT (34.9322162 29.5470931),Point 418,,2,14,34.9322162,29.5470931,69.8644324,59.0941862
POINT (34.9323099 29.5467437),Point 419,,1,14,34.9323099,29.5467437,34.9323099,29.5467437
POINT (34.9318391 29.5470472),Point 420,,1,14,34.9318391,29.5470472,34.9318391,29.5470472
POINT (34.9312744 29.5473552),Point 421,,1,14,34.9312744,29.5473552,34.9312744,29.5473552
POINT (34.9307383 29.5475537),Point 422,,1,14,34.9307383,29.5475537,34.9307383,29.5475537
POINT (34.9306095 29.5479644),Point 423,,2,14,34.9306095,29.5479644,69.861219,59.0959288
POINT (34.9295711 29.5484164),Point 424,,1,14,34.9295711,29.5484164,34.9295711,29.5484164
POINT (34.9295803 29.5486399),Point 425,,1,14,34.9295803,29.5486399,34.9295803,29.5486399
POINT (34.92965 29.5488559),Point 426,,1,14,34.92965,29.5488559,34.92965,29.5488559
POINT (34.929495 29.5491564),Point 427,,1,14,34.929495,29.5491564,34.929495,29.5491564
POINT (34.9284704 29.5476979),Point 428,,1,14,34.9284704,29.5476979,34.9284704,29.5476979
POINT (34.9285139 29.5475131),Point 429,,1,14,34.9285139,29.5475131,34.9285139,29.5475131
POINT (34.9285679 29.5470867),Point 430,,1,14,34.9285679,29.5470867,34.9285679,29.5470867
POINT (34.9294545 29.5464638),Point 431,,2,14,34.9294545,29.5464638,69.858909,59.0929276
POINT (34.9298541 29.546825),Point 432,,1,14,34.9298541,29.546825,34.9298541,29.546825
POINT (34.9302757 29.5456812),Point 433,,2,14,34.9302757,29.5456812,69.8605514,59.0913624
POINT (34.9304635 29.5454712),Point 434,,1,14,34.9304635,29.5454712,34.9304635,29.5454712
POINT (34.9306673 29.5454946),Point 435,,1,14,34.9306673,29.5454946,34.9306673,29.5454946
POINT (34.9309785 29.5449579),Point 436,,1,14,34.9309785,29.5449579,34.9309785,29.5449579
POINT (34.9315149 29.5450185),Point 437,,1,14,34.9315149,29.5450185,34.9315149,29.5450185
POINT (34.9310214 29.5448365),Point 438,,1,14,34.9310214,29.5448365,34.9310214,29.5448365
POINT (34.9276271 29.5480189),Point 439,,2,14,34.9276271,29.5480189,69.8552542,59.0960378
POINT (34.9275085 29.5465726),Point 442,,2,15,34.9275085,29.5465726,69.855017,59.0931452
POINT (34.9270232 29.5463278),Point 443,,1,15,34.9270232,29.5463278,34.9270232,29.5463278
POINT (34.9264653 29.5459451),Point 444,,1,15,34.9264653,29.5459451,34.9264653,29.5459451
POINT (34.9265135 29.5457398),Point 445,,1,15,34.9265135,29.5457398,34.9265135,29.5457398
POINT (34.926601 29.5455591),Point 446,,1,15,34.926601,29.5455591,34.926601,29.5455591
POINT (34.9262389 29.5454845),Point 447,,2,15,34.9262389,29.5454845,69.8524778,59.090969
POINT (34.927778 29.5462982),Point 448,,1,15,34.927778,29.5462982,34.927778,29.5462982
POINT (34.9280945 29.5464055),Point 449,,1,15,34.9280945,29.5464055,34.9280945,29.5464055
POINT (34.9283675 29.5461653),Point 450,,2,15,34.9283675,29.5461653,69.856735,59.0923306
POINT (34.9282871 29.5458479),Point 451,,2,15,34.9282871,29.5458479,69.8565742,59.0916958
POINT (34.928727 29.5454279),Point 452,,2,15,34.928727,29.5454279,69.857454,59.0908558
POINT (34.9289898 29.5455726),Point 453,,2,15,34.9289898,29.5455726,69.8579796,59.0911452
POINT (34.929762 29.5448472),Point 454,,2,15,34.929762,29.5448472,69.859524,59.0896944
POINT (34.9294744 29.5446222),Point 455,,2,15,34.9294744,29.5446222,69.8589488,59.0892444
POINT (34.9301744 29.5444275),Point 456,,2,15,34.9301744,29.5444275,69.8603488,59.088855
POINT (34.9303628 29.5441201),Point 457,,2,15,34.9303628,29.5441201,69.8607256,59.0882402
POINT (34.9292484 29.5435113),Point 458,,2,15,34.9292484,29.5435113,69.8584968,59.0870226
POINT (34.9293369 29.5433666),Point 459,,2,15,34.9293369,29.5433666,69.8586738,59.0867332
POINT (34.9296899 29.5431664),Point 460,!,2,15,34.9296899,29.5431664,69.8593798,59.0863328
POINT (34.9284684 29.5429359),Point 462,,2,15,34.9284684,29.5429359,69.8569368,59.0858718
POINT (34.9287663 29.5429241),Point 463,,2,15,34.9287663,29.5429241,69.8575326,59.0858482
POINT (34.9273953 29.5435335),Point 464,,2,15,34.9273953,29.5435335,69.8547906,59.087067
POINT (34.9265811 29.5470327),Point 440,,2,15,34.9265811,29.5470327,69.8531622,59.0940654
POINT (34.9270793 29.547464),Point 441,,2,15,34.9270793,29.547464,69.8541586,59.094928
POINT (34.9278041 29.5416558),Point 465,,1,17,34.9278041,29.5416558,34.9278041,29.5416558
POINT (34.9275887 29.5419356),Point 466,,1,17,34.9275887,29.5419356,34.9275887,29.5419356
POINT (34.9277014 29.5423836),Point 467,,1,17,34.9277014,29.5423836,34.9277014,29.5423836
POINT (34.9270604 29.5429274),Point 468,,2,17,34.9270604,29.5429274,69.8541208,59.0858548
POINT (34.9268295 29.5431907),Point 469,,2,17,34.9268295,29.5431907,69.853659,59.0863814
POINT (34.9265022 29.5434903),Point 470,,2,17,34.9265022,29.5434903,69.8530044,59.0869806
POINT (34.9261427 29.5437517),Point 471,,2,17,34.9261427,29.5437517,69.8522854,59.0875034
POINT (34.9259496 29.543999),Point 472,,2,17,34.9259496,29.543999,69.8518992,59.087998
POINT (34.9258882 29.5434597),Point 473,,1,17,34.9258882,29.5434597,34.9258882,29.5434597
POINT (34.9256307 29.5438004),Point 474,,1,17,34.9256307,29.5438004,34.9256307,29.5438004
POINT (34.9255073 29.5440104),Point 475,,1,17,34.9255073,29.5440104,34.9255073,29.5440104
POINT (34.9253392 29.5445402),Point 476,,1,17,34.9253392,29.5445402,34.9253392,29.5445402
POINT (34.9250549 29.5447176),Point 477,,1,17,34.9250549,29.5447176,34.9250549,29.5447176
POINT (34.9250218 29.5448956),Point 478,,2,17,34.9250218,29.5448956,69.8500436,59.0897912
POINT (34.9247267 29.5442423),Point 479,,1,17,34.9247267,29.5442423,34.9247267,29.5442423
POINT (34.924298 29.5438964),Point 480,,1,17,34.924298,29.5438964,34.924298,29.5438964
POINT (34.9241103 29.544071),Point 481,,1,17,34.9241103,29.544071,34.9241103,29.544071
POINT (34.9243338 29.5442277),Point 482,,1,17,34.9243338,29.5442277,34.9243338,29.5442277
POINT (34.9246718 29.5432767),Point 483,,1,17,34.9246718,29.5432767,34.9246718,29.5432767
POINT (34.9250711 29.5436127),Point 484,,1,17,34.9250711,29.5436127,34.9250711,29.5436127
POINT (34.9250512 29.5429314),Point 485,,2,17,34.9250512,29.5429314,69.8501024,59.0858628
POINT (34.9254958 29.5424506),Point 486,,1,17,34.9254958,29.5424506,34.9254958,29.5424506
POINT (34.9274336 29.5421592),Point 487,,1,17,34.9274336,29.5421592,34.9274336,29.5421592
POINT (34.9263211 29.5423225),Point 488,,2,17,34.9263211,29.5423225,69.8526422,59.084645
POINT (34.9258544 29.5420191),Point 489,,2,17,34.9258544,29.5420191,69.8517088,59.0840382
POINT (34.9259724 29.5427265),Point 490,,2,17,34.9259724,29.5427265,69.8519448,59.085453
POINT (34.9263694 29.5430019),Point 491,,1,17,34.9263694,29.5430019,34.9263694,29.5430019
POINT (34.9266805 29.5426892),Point 492,,1,17,34.9266805,29.5426892,34.9266805,29.5426892
POINT (34.9235542 29.5431366),Point 493,,1,17,34.9235542,29.5431366,34.9235542,29.5431366
POINT (34.9230304 29.5438816),Point 494,,2,17,34.9230304,29.5438816,69.8460608,59.0877632
POINT (34.9234461 29.5437486),Point 495,,1,17,34.9234461,29.5437486,34.9234461,29.5437486
POINT (34.9355497 29.5465524),Point 388,,1,18,34.9355497,29.5465524,34.9355497,29.5465524
POINT (34.9352546 29.5463844),Point 389,,1,18,34.9352546,29.5463844,34.9352546,29.5463844
POINT (34.9355389 29.5463457),Point 390,,1,18,34.9355389,29.5463457,34.9355389,29.5463457
POINT (34.9349703 29.5464717),Point 391,,1,18,34.9349703,29.5464717,34.9349703,29.5464717
